1: brisc2025_train_01252_me_ax_t1.jpg | mask: brisc2025_train_01252_me_ax_t1.png
2: brisc2025_train_01397_me_ax_t1.jpg | mask: brisc2025_train_01397_me_ax_t1.png
3: brisc2025_train_01380_me_ax_t1.jpg | mask: brisc2025_train_01380_me_ax_t1.png
4: brisc2025_train_01379_me_ax_t1.jpg | mask: brisc2025_train_01379_me_ax_t1.png
5: brisc2025_train_01272_me_ax_t1.jpg | mask: brisc2025_train_01272_me_ax_t1.png
6: brisc2025_train_01284_me_ax_t1.jpg | mask: brisc2025_train_01284_me_ax_t1.png
7: brisc2025_train_01271_me_ax_t1.jpg | mask: brisc2025_train_01271_me_ax_t1.png
8: brisc2025_train_01304_me_ax_t1.jpg | mask: brisc2025_train_01304_me_ax_t1.png
9: brisc2025_train_01273_me_ax_t1.jpg | mask: brisc2025_train_01273_me_ax_t1.png
10: brisc2025_train_01659_me_co_t1.jpg | mask: brisc2025_train_01659_me_co_t1.png
11: brisc2025_train_01399_me_ax_t1.jpg | mask: brisc2025_train_01399_me_ax_t1.png
12: brisc2025_train_01256_me_ax_t1.jpg | mask: brisc2025_train_01256_me_ax_t1.png
13: brisc2025_train_01257_me_ax_t1.jpg | mask: brisc2025_train_01257_me_ax_t1.png
14: brisc2025_train_01402_me_ax_t1.jpg | mask: brisc2025_train_01402_me_ax_t1.png
15: brisc2025_train_01313_me_ax_t1.jpg | mask: brisc2025_train_01313_me_ax_t1.png
16: brisc2025_train_01303_me_ax_t1.jpg | mask: brisc2025_train_01303_me_ax_t1.png
17: brisc2025_train_01384_me_ax_t1.jpg | mask: brisc2025_train_01384_me_ax_t1.png
18: brisc2025_train_01282_me_ax_t1.jpg | mask: brisc2025_train_01282_me_ax_t1.png
19: brisc2025_train_01381_me_ax_t1.jpg | mask: brisc2025_train_01381_me_ax_t1.png
20: brisc2025_train_02003_me_sa_t1.jpg | mask: brisc2025_train_02003_me_sa_t1.png
21: brisc2025_train_03549_pi_ax_t1.jpg | mask: brisc2025_train_03549_pi_ax_t1.png
22: brisc2025_train_02017_me_sa_t1.jpg | mask: brisc2025_train_02017_me_sa_t1.png
23: brisc2025_train_01666_me_co_t1.jpg | mask: brisc2025_train_01666_me_co_t1.png
24: brisc2025_train_01248_me_ax_t1.jpg | mask: brisc2025_train_01248_me_ax_t1.png
25: brisc2025_train_01999_me_sa_t1.jpg | mask: brisc2025_train_01999_me_sa_t1.png
26: brisc2025_train_01998_me_sa_t1.jpg | mask: brisc2025_train_01998_me_sa_t1.png
27: brisc2025_train_01356_me_ax_t1.jpg | mask: brisc2025_train_01356_me_ax_t1.png
28: brisc2025_train_01655_me_co_t1.jpg | mask: brisc2025_train_01655_me_co_t1.png
29: brisc2025_train_01255_me_ax_t1.jpg | mask: brisc2025_train_01255_me_ax_t1.png
30: brisc2025_train_01383_me_ax_t1.jpg | mask: brisc2025_train_01383_me_ax_t1.png
